# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
8 0.5759002537 41 20

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.01563563,-16.53252145,-23.55446731,-2800,-16.9798984,-23.94561589,-2833.642955,0.02139689682,8,1,13,R134aDet,0
21.12787598,-16.9798984,-23.94561589,-2833.642955,-17.50031328,-24.40054654,-2872.753573,0.02005851782,8,1,13,R134aDet,0
21.25835767,-17.50031328,-24.40054654,-2872.753573,-19.23207134,-25.91264917,-3002.81953,0.08890005262,8,1,13,R134aDet,0
21.69228657,-19.23207134,-25.91264917,-3002.81953,-19.43799109,-26.09286321,-3018.299017,0.01050443407,8,1,13,R134aDet,0
21.74392957,-19.43799109,-26.09286321,-3018.299017,-19.59534021,-26.23078384,-3030.132586,0.007864140143,8,1,13,R134aDet,0
21.78340899,-19.59534021,-26.23078384,-3030.132586,-19.92596483,-26.52047755,-3054.997146,0.01369315383,8,1,13,R134aDet,0
21.86636268,-19.92596483,-26.52047755,-3054.997146,-19.98002514,-26.56780666,-3059.064119,0.001468478797,8,1,13,R134aDet,0
21.87993101,-19.98002514,-26.56780666,-3059.064119,-21.40709573,-27.81655798,-3166.369424,0.07315609208,8,1,13,R134aDet,0
22.23792529,-21.40709573,-27.81655798,-3166.369424,-21.44212911,-27.84722946,-3169.006313,0.001562537338,8,1,13,R134aDet,0
22.24672254,-21.44212911,-27.84722946,-3169.006313,-21.85392122,-28.20761571,-3200,0.01899777334,8,1,13,R134aDet,0
22.68374639,-23.1821306,-29.37067072,-3300,-23.40653307,-29.56700023,-3316.889634,0.01263523345,8,1,13,R134aDet,1
22.74009393,-23.40653307,-29.56700023,-3316.889634,-23.60678608,-29.7421377,-3331.956825,0.00691475043,8,1,13,R134aDet,1
22.79036141,-23.60678608,-29.7421377,-3331.956825,-25.22358967,-31.15672644,-3453.615275,0.0617471721,8,1,13,R134aDet,1
23.19624087,-25.22358967,-31.15672644,-3453.615275,-25.83185661,-31.6903421,-3499.421829,0.02897759402,8,1,13,R134aDet,1
23.34906167,-25.83185661,-31.6903421,-3499.421829,-25.89882204,-31.74906877,-3504.464119,0.002366487887,8,1,13,R134aDet,1
23.36588387,-25.89882204,-31.74906877,-3504.464119,-26.61002959,-32.37306546,-3558.037983,0.03636641123,8,1,13,R134aDet,1
23.54461812,-26.61002959,-32.37306546,-3558.037983,-27.12575712,-32.82597483,-3596.892605,0.0209442613,8,1,13,R134aDet,1
23.67424574,-27.12575712,-32.82597483,-3596.892605,-27.8826338,-33.48995884,-3653.850432,0.03355278309,8,1,13,R134aDet,1
23.86426969,-27.8826338,-33.48995884,-3653.850432,-28.26267714,-33.8230263,-3682.440069,0.01525717146,8,1,13,R134aDet,1
23.95965106,-28.26267714,-33.8230263,-3682.440069,-28.46577212,-34.00124934,-3697.737903,0.009851465553,8,1,13,R134aDet,1
24.01068802,-28.46577212,-34.00124934,-3697.737903,-28.49581958,-34.02758402,-3700,0.002730030129,8,1,13,R134aDet,1
24.01068802,-28.46577212,-34.00124934,-3697.737903,-28.08869799,-34.06114415,-3697.782032,0.01108462263,8,175,11,R134aDet,1
23.95965106,-28.26267714,-33.8230263,-3682.440069,-28.26961101,-33.8655351,-3682.441908,0.003247279235,8,174,11,R134aDet,1
23.86426969,-27.8826338,-33.48995884,-3653.850432,-27.87329975,-33.49709711,-3653.850922,0.00149237047,8,173,11,R134aDet,1
23.67424574,-27.12575712,-32.82597483,-3596.892605,-27.14349796,-32.81443413,-3596.893472,0.002138273902,8,172,11,R134aDet,1
23.54461812,-26.61002959,-32.37306546,-3558.037983,-26.61963538,-32.3675844,-3558.038334,0.001437164611,8,171,11,R134aDet,1
23.36588387,-25.89882204,-31.74906877,-3504.464119,-26.09507004,-31.75927785,-3504.478401,0.00766800153,8,170,11,R134aDet,1
23.34906167,-25.83185661,-31.6903421,-3499.421829,-25.89250145,-31.58312475,-3499.431642,0.005908892915,8,169,11,R134aDet,1
23.19624087,-25.22358967,-31.15672644,-3453.615275,-25.15177046,-31.17904053,-3453.62095,0.004476887745,8,168,11,R134aDet,1
22.79036141,-23.60678608,-29.7421377,-3331.956825,-23.64512486,-29.76631825,-3331.958626,0.003345104631,8,167,11,R134aDet,1
22.74009393,-23.40653307,-29.56700023,-3316.889634,-23.41430507,-29.5765077,-3316.889895,0.001532951924,8,166,11,R134aDet,1
22.24672254,-21.44212911,-27.84722946,-3169.006313,-21.42901367,-27.87468141,-3169.007717,0.002649756004,8,164,11,R134aDet,0
22.23792529,-21.40709573,-27.81655798,-3166.369424,-21.39477265,-27.82028735,-3166.37005,0.001579374777,8,163,11,R134aDet,0
21.87993101,-19.98002514,-26.56780666,-3059.064119,-19.19299057,-26.61595818,-3059.175031,0.008730532109,8,162,11,R134aDet,0
21.89057041,-19.19299057,-26.61595818,-3059.175031,-19.25009008,-26.81707388,-3059.142209,0.007977951455,8,162,11,R134aDet,0
21.86636268,-19.92596483,-26.52047755,-3054.997146,-19.96820649,-26.57573324,-3055.000438,0.004279051916,8,161,11,R134aDet,0
21.78340899,-19.59534021,-26.23078384,-3030.132586,-19.43373753,-26.30816507,-3030.148978,0.007290412536,8,160,11,R134aDet,0
21.74392957,-19.43799109,-26.09286321,-3018.299017,-19.48310438,-26.01870289,-3018.305265,0.004852983273,8,159,11,R134aDet,0
21.69228657,-19.23207134,-25.91264917,-3002.81953,-19.24309289,-25.91725243,-3002.819788,0.001506921257,8,158,11,R134aDet,0
21.25835767,-17.50031328,-24.40054654,-2872.753573,-17.47151617,-24.36364772,-2872.757093,0.003412171543,8,157,11,R134aDet,0
21.12787598,-16.9798984,-23.94561589,-2833.642955,-16.95810658,-23.93404483,-2833.644563,0.002344111759,8,156,11,R134aDet,0
