# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
50 0.7474953145 66 27

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.01500919,-8.686598894,-5.389185977,-2800,-8.883415798,-5.26192222,-2848.712393,0.02836575375,50,1,13,R134aDet,0
21.17750096,-8.883415798,-5.26192222,-2848.712393,-9.032070973,-5.165919645,-2885.326523,0.02078845282,50,1,13,R134aDet,0
21.2996361,-9.032070973,-5.165919645,-2885.326523,-9.169043447,-5.077815078,-2918.98186,0.01984861125,50,1,13,R134aDet,0
21.41190149,-9.169043447,-5.077815078,-2918.98186,-9.29024337,-4.999309068,-2948.860872,0.01712705515,50,1,13,R134aDet,0
21.51157005,-9.29024337,-4.999309068,-2948.860872,-9.526353903,-4.845720779,-3007.024596,0.0380073402,50,1,13,R134aDet,0
21.705589,-9.526353903,-4.845720779,-3007.024596,-9.571838533,-4.816409207,-3018.242278,0.01137946502,50,1,13,R134aDet,0
21.74300825,-9.571838533,-4.816409207,-3018.242278,-9.583026795,-4.809195341,-3021.003703,0.002467835771,50,1,13,R134aDet,0
21.75221964,-9.583026795,-4.809195341,-3021.003703,-9.775072631,-4.685310902,-3068.441623,0.0313041751,50,1,13,R134aDet,0
21.9104601,-9.775072631,-4.685310902,-3068.441623,-9.836191291,-4.646083579,-3083.546907,0.007340753724,50,1,13,R134aDet,0
21.96084737,-9.836191291,-4.646083579,-3083.546907,-10.11099638,-4.469474622,-3151.415639,0.04697192037,50,1,13,R134aDet,0
22.18723965,-10.11099638,-4.469474622,-3151.415639,-10.11443545,-4.467247345,-3152.271916,0.0003723289302,50,1,13,R134aDet,0
22.19009597,-10.11443545,-4.467247345,-3152.271916,-10.11947396,-4.463982265,-3153.525173,0.0001091300137,50,1,13,R134aDet,0
22.19427651,-10.11947396,-4.463982265,-3153.525173,-10.30640009,-4.342808261,-3200,0.02825445856,50,1,13,R134aDet,0
22.68287806,-10.70868295,-4.082753889,-3300,-10.76543108,-4.04610596,-3314.115357,0.01127761059,50,1,13,R134aDet,1
22.72996318,-10.76543108,-4.04610596,-3314.115357,-10.81523191,-4.01398694,-3326.498279,0.00976165036,50,1,13,R134aDet,1
22.77126936,-10.81523191,-4.01398694,-3326.498279,-11.45624612,-3.597769301,-3485.720172,0.09100944802,50,1,13,R134aDet,1
23.30239179,-11.45624612,-3.597769301,-3485.720172,-11.56972409,-3.524015171,-3513.760646,0.01313921153,50,1,13,R134aDet,1
23.39592747,-11.56972409,-3.524015171,-3513.760646,-12.00215341,-3.242591028,-3620.762247,0.0651103448,50,1,13,R134aDet,1
