# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
144 0.6334926424 51 23

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.01514835,16.44500394,0.4930771014,-2800,17.27399918,0.4746113225,-2866.04394,0.04261189777,144,1,13,R134aDet,0
21.2354685,17.27399918,0.4746113225,-2866.04394,18.83565476,0.4404473628,-2990.489697,0.07533773256,144,1,13,R134aDet,0
21.65061494,18.83565476,0.4404473628,-2990.489697,18.87011603,0.4396471405,-2993.23537,0.00134069159,144,1,13,R134aDet,0
21.65977441,18.87011603,0.4396471405,-2993.23537,18.87775733,0.4394657383,-2993.844452,0.000476454347,144,1,13,R134aDet,0
21.66180628,18.87775733,0.4394657383,-2993.844452,19.45133315,0.4258415121,-3039.581072,0.02482782069,144,1,13,R134aDet,0
21.81438194,19.45133315,0.4258415121,-3039.581072,20.79548669,0.3948630489,-3146.715545,0.07355385137,144,1,13,R134aDet,0
22.17177857,20.79548669,0.3948630489,-3146.715545,21.12367327,0.3871844845,-3172.877769,0.01338877254,144,1,13,R134aDet,0
22.25905478,21.12367327,0.3871844845,-3172.877769,21.4640794,0.3793752478,-3200,0.01673002507,144,1,13,R134aDet,0
22.68312982,22.71818975,0.3488100281,-3300,22.73117688,0.3484930175,-3301.035565,0.0004522392511,144,1,13,R134aDet,1
22.68658442,22.73117688,0.3484930175,-3301.035565,22.79713837,0.3468661412,-3306.295712,0.004993519489,144,1,13,R134aDet,1
22.70413208,22.79713837,0.3468661412,-3306.295712,23.02097626,0.3413094854,-3324.143829,0.01121216051,144,1,13,R134aDet,1
22.76367273,23.02097626,0.3413094854,-3324.143829,23.0406771,0.3408259803,-3325.714012,0.0008143947535,144,1,13,R134aDet,1
22.7689108,23.0406771,0.3408259803,-3325.714012,23.52321943,0.3290206868,-3364.161822,0.02674899864,144,1,13,R134aDet,1
22.89717128,23.52321943,0.3290206868,-3364.161822,25.49880178,0.2807847964,-3521.573702,0.09707711331,144,1,13,R134aDet,1
23.42229151,25.49880178,0.2807847964,-3521.573702,25.60055881,0.2784763616,-3529.675396,0.00464900147,144,1,13,R134aDet,1
23.44931847,25.60055881,0.2784763616,-3529.675396,26.34955189,0.2610084816,-3589.285907,0.0382913715,144,1,13,R134aDet,1
23.64817697,26.34955189,0.2610084816,-3589.285907,27.22825845,0.2403075083,-3659.406602,0.04821969625,144,1,13,R134aDet,1
23.88209696,27.22825845,0.2403075083,-3659.406602,27.73798053,0.2282987442,-3700,0.02705347844,144,1,13,R134aDet,1
24.23079139,39.90229161,-24.69719876,-3700,40.32356081,-27.29175914,-3699.810036,0.002389318664,144,179,11,R134aDet,1
24.24997477,40.32356081,-27.29175914,-3699.810036,40.95949634,-28.73261943,-3699.7009,0.002085136957,144,179,11,R134aDet,1
24.26227864,40.95949634,-28.73261943,-3699.7009,43.10308452,-29.74472902,-3698.788427,0.002919382403,144,179,11,R134aDet,1
24.2816865,43.10308452,-29.74472902,-3698.788427,45.61086223,-29.26936834,-3697.695156,0.0065817416,144,179,11,R134aDet,1
24.30267901,45.61086223,-29.26936834,-3697.695156,46.58284972,-29.03849887,-3697.701326,0.002015077641,144,179,11,R134aDet,1
24.31129612,46.58284972,-29.03849887,-3697.701326,47.51933709,-27.10728182,-3698.894241,0.007508361637,144,179,11,R134aDet,1
24.33093658,47.51933709,-27.10728182,-3698.894241,48.38206877,-26.34548361,-3699.955006,0.008552549284,144,179,11,R134aDet,1
24.34772009,48.38206877,-26.34548361,-3699.955006,48.34053581,-26.20056915,-3700,0.0006667847832,144,179,11,R134aDet,1
24.31129612,46.58284972,-29.03849887,-3697.701326,46.60043861,-29.06420402,-3697.70397,0.00269045371,144,183,11,R134aDet,1
24.26227864,40.95949634,-28.73261943,-3699.7009,40.94707165,-28.75009824,-3699.715364,0.002407332255,144,182,11,R134aDet,1
23.88209696,27.22825845,0.2403075083,-3659.406602,27.23592591,0.2275657383,-3659.407113,0.001725530309,144,178,11,R134aDet,1
23.64817697,26.34955189,0.2610084816,-3589.285907,26.38302257,0.2362210819,-3589.287805,0.003184571861,144,177,11,R134aDet,1
23.44931847,25.60055881,0.2784763616,-3529.675396,25.56227999,0.2621974115,-3529.678196,0.003184471127,144,176,11,R134aDet,1
23.42229151,25.49880178,0.2807847964,-3521.573702,25.52920448,0.2710767101,-3521.574965,0.002724664794,144,175,11,R134aDet,1
22.89717128,23.52321943,0.3290206868,-3364.161822,23.55238273,0.3671113886,-3364.164257,0.003458243573,144,174,11,R134aDet,1
22.7689108,23.0406771,0.3408259803,-3325.714012,22.92641219,0.3074938048,-3325.724411,0.005798350738,144,173,11,R134aDet,1
22.76367273,23.02097626,0.3413094854,-3324.143829,23.05453404,0.257234574,-3324.14978,0.001624907668,144,172,11,R134aDet,1
22.76582906,23.05453404,0.257234574,-3324.14978,23.06733444,0.2492373743,-3324.147937,0.001748660264,144,172,11,R134aDet,1
22.76582906,23.05453404,0.257234574,-3324.14978,23.06060993,0.2641874114,-3324.161597,0.001733825316,144,184,11,R134aDet,1
22.70413208,22.79713837,0.3468661412,-3306.295712,22.73460943,0.3952607801,-3306.301823,0.00460560234,144,171,11,R134aDet,1
22.68658442,22.73117688,0.3484930175,-3301.035565,22.75437679,0.3991912708,-3301.038677,0.003772652899,144,170,11,R134aDet,1
22.25905478,21.12367327,0.3871844845,-3172.877769,21.09838351,0.4538100252,-3172.882752,0.004341641951,144,168,11,R134aDet,0
22.17177857,20.79548669,0.3948630489,-3146.715545,20.80610474,0.4253385916,-3146.717093,0.002743088669,144,167,11,R134aDet,0
21.81438194,19.45133315,0.4258415121,-3039.581072,19.52952678,0.03280889107,-3039.622245,0.01137483983,144,166,11,R134aDet,0
21.66180628,18.87775733,0.4394657383,-2993.844452,18.87775994,0.4394657624,-2993.844452,2.26000406e-08,144,165,11,R134aDet,0
21.66180633,18.87775994,0.4394657624,-2993.844452,19.00540316,0.4843242134,-2993.80929,0.006331887244,144,165,11,R134aDet,0
21.66180633,18.87775994,0.4394657624,-2993.844452,18.88305009,0.4313926451,-2993.853197,0.001589482405,144,185,11,R134aDet,0
21.65977441,18.87011603,0.4396471405,-2993.23537,19.5331747,1.347359328,-2993.38843,0.008993902509,144,164,11,R134aDet,0
21.67336741,19.5331747,1.347359328,-2993.38843,19.27616844,1.659004421,-2993.276927,0.005915111455,144,164,11,R134aDet,0
21.67992026,19.27616844,1.659004421,-2993.276927,19.26136258,1.709907014,-2993.342438,0.004765931842,144,164,11,R134aDet,0
21.67992026,19.27616844,1.659004421,-2993.276927,19.26624766,1.657490168,-2993.275894,0.001357463134,144,186,11,R134aDet,0
21.65061494,18.83565476,0.4404473628,-2990.489697,18.75945809,0.4185504059,-2990.495978,0.004612937109,144,163,11,R134aDet,0
21.2354685,17.27399918,0.4746113225,-2866.04394,17.29684456,0.4669490846,-2866.044796,0.002309494339,144,162,11,R134aDet,0
