# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
87 0.5681452234 32 16

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.01508943,4.389150411,12.84994816,-2800,5.171107924,13.92587002,-2957.927844,0.1098063499,87,1,13,R134aDet,0
21.54190804,5.171107924,13.92587002,-2957.927844,5.355167605,14.17879882,-2994.994879,0.02524549305,87,1,13,R134aDet,0
21.66555696,5.355167605,14.17879882,-2994.994879,6.00005116,15.06156323,-3124.503949,0.07886930135,87,1,13,R134aDet,0
22.09757578,6.00005116,15.06156323,-3124.503949,6.278136537,15.44043675,-3180.134877,0.03441188701,87,1,13,R134aDet,0
22.28315049,6.278136537,15.44043675,-3180.134877,6.354264121,15.54412502,-3195.350828,0.008397692875,87,1,13,R134aDet,0
22.33390816,6.354264121,15.54412502,-3195.350828,6.377563243,15.57583535,-3200,0.002996138197,87,1,13,R134aDet,0
22.68299892,6.878378424,16.25810455,-3300,7.251427387,16.76642591,-3374.560186,0.04523417385,87,1,13,R134aDet,1
22.93171824,7.251427387,16.76642591,-3374.560186,7.273956398,16.79698761,-3379.049445,0.002286903428,87,1,13,R134aDet,1
22.94669359,7.273956398,16.79698761,-3379.049445,7.451278556,17.03724514,-3414.373849,0.02318700645,87,1,13,R134aDet,1
23.06452942,7.451278556,17.03724514,-3414.373849,7.480905755,17.07742973,-3420.276286,0.002300360916,87,1,13,R134aDet,1
23.08421889,7.480905755,17.07742973,-3420.276286,7.692090139,17.3636221,-3462.303041,0.03156391295,87,1,13,R134aDet,1
23.22441256,7.692090139,17.3636221,-3462.303041,7.758826938,17.45385878,-3475.558868,0.00802093005,87,1,13,R134aDet,1
23.26863161,7.758826938,17.45385878,-3475.558868,8.197918224,18.04816039,-3562.812844,0.05044080877,87,1,13,R134aDet,1
23.55969515,8.197918224,18.04816039,-3562.812844,8.67207328,18.69045018,-3656.994962,0.05614458152,87,1,13,R134aDet,1
23.87386974,8.67207328,18.69045018,-3656.994962,8.880246767,18.97283732,-3698.358924,0.02690944238,87,1,13,R134aDet,1
24.01185248,8.880246767,18.97283732,-3698.358924,8.888502684,18.98403876,-3700,0.001348118776,87,1,13,R134aDet,1
24.01185248,8.880246767,18.97283732,-3698.358924,8.822873432,19.08727126,-3698.368267,0.006036056579,87,180,11,R134aDet,1
23.87386974,8.67207328,18.69045018,-3656.994962,8.657335125,18.70488453,-3656.995874,0.002105931546,87,179,11,R134aDet,1
23.55969515,8.197918224,18.04816039,-3562.812844,8.342325778,17.88034675,-3562.833095,0.008198677028,87,178,11,R134aDet,1
23.26863161,7.758826938,17.45385878,-3475.558868,7.76471081,17.39316877,-3475.563055,0.003973023162,87,177,11,R134aDet,1
23.22441256,7.692090139,17.3636221,-3462.303041,7.666388448,17.39577404,-3462.305241,0.003163472476,87,176,11,R134aDet,1
23.08421889,7.480905755,17.07742973,-3420.276286,7.48308063,17.03639654,-3420.278841,0.003161194578,87,175,11,R134aDet,1
23.06452942,7.451278556,17.03724514,-3414.373849,7.527578825,17.16780185,-3414.385718,0.002433113136,87,174,11,R134aDet,1
23.06747149,7.527578825,17.16780185,-3414.385718,7.551992815,17.20106134,-3414.371642,0.003268458463,87,174,11,R134aDet,1
23.06747149,7.527578825,17.16780185,-3414.385718,7.542424499,17.15571367,-3414.382754,0.002026712087,87,184,11,R134aDet,1
22.94669359,7.273956398,16.79698761,-3379.049445,7.237781441,16.93989044,-3379.060436,0.006532966269,87,173,11,R134aDet,1
22.93171824,7.251427387,16.76642591,-3374.560186,7.266615085,16.76847553,-3374.560731,0.001757809366,87,172,11,R134aDet,1
22.33390816,6.354264121,15.54412502,-3195.350828,6.350392058,15.55499959,-3195.351212,0.001475748464,87,170,11,R134aDet,0
22.28315049,6.278136537,15.44043675,-3180.134877,6.432968423,15.56285805,-3180.150377,0.007688688649,87,169,11,R134aDet,0
22.09757578,6.00005116,15.06156323,-3124.503949,5.926596869,14.97550524,-3124.513309,0.005634448468,87,168,11,R134aDet,0
21.66555696,5.355167605,14.17879882,-2994.994879,5.353425721,14.19832795,-2994.995631,0.002042315504,87,167,11,R134aDet,0
21.54190804,5.171107924,13.92587002,-2957.927844,5.161346508,13.93220976,-2957.928293,0.001483506155,87,166,11,R134aDet,0
