# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
116 0.5682360846 43 21

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.01557231,-21.56407296,-12.61425914,-2800,-21.76187185,-12.7630799,-2812.007328,0.008667954003,116,1,13,R134aDet,0
21.05563365,-21.76187185,-12.7630799,-2812.007328,-22.10437435,-13.02042051,-2832.783118,0.01563832299,116,1,13,R134aDet,0
21.12495017,-22.10437435,-13.02042051,-2832.783118,-22.23066134,-13.1152718,-2840.445296,0.005303180496,116,1,13,R134aDet,0
21.15051432,-22.23066134,-13.1152718,-2840.445296,-23.35906943,-13.96299838,-2908.92665,0.04072161083,116,1,13,R134aDet,0
21.37899603,-23.35906943,-13.96299838,-2908.92665,-23.63783635,-14.17236713,-2925.85027,0.007774168711,116,1,13,R134aDet,0
21.43546011,-23.63783635,-14.17236713,-2925.85027,-25.76883074,-15.77160521,-3055.138838,0.07949908546,116,1,13,R134aDet,0
21.86681945,-25.76883074,-15.77160521,-3055.138838,-25.77760111,-15.77819014,-3055.67047,0.0007182353415,116,1,13,R134aDet,0
21.86859319,-25.77760111,-15.77819014,-3055.67047,-26.09419369,-16.01590886,-3074.859915,0.01478864107,116,1,13,R134aDet,0
21.93261703,-26.09419369,-16.01590886,-3074.859915,-27.29283934,-16.91579399,-3147.512752,0.0425110281,116,1,13,R134aDet,0
22.1750166,-27.29283934,-16.91579399,-3147.512752,-27.9778608,-17.43040689,-3189.081123,0.02714915925,116,1,13,R134aDet,0
22.31370564,-27.9778608,-17.43040689,-3189.081123,-28.15792985,-17.56557167,-3200,0.00929786128,116,1,13,R134aDet,0
22.68377629,-29.806114,-18.80452442,-3300,-32.00796199,-20.45866523,-3433.554926,0.08059969123,116,1,13,R134aDet,1
23.12937005,-32.00796199,-20.45866523,-3433.554926,-33.20252622,-21.35233784,-3505.947,0.03838515095,116,1,13,R134aDet,1
23.37089951,-33.20252622,-21.35233784,-3505.947,-33.51457139,-21.58579802,-3524.857061,0.006539017159,116,1,13,R134aDet,1
23.43399118,-33.51457139,-21.58579802,-3524.857061,-34.1410196,-22.05459304,-3562.817465,0.02486243577,116,1,13,R134aDet,1
23.56227224,-34.14908395,-22.06062873,-3563.305919,-35.00604087,-22.70193795,-3615.195787,0.03576888519,116,1,13,R134aDet,1
23.73539805,-35.00604087,-22.70193795,-3615.195787,-35.74790444,-23.25678851,-3660.110628,0.02842816568,116,1,13,R134aDet,1
23.88525232,-35.74790444,-23.25678851,-3660.110628,-36.40693787,-23.74941159,-3700,0.02300817032,116,1,13,R134aDet,1
23.88525232,-35.74790444,-23.25678851,-3660.110628,-35.29014913,-23.69763289,-3660.189023,0.009432179012,116,175,11,R134aDet,1
23.89434675,-35.29014913,-23.69763289,-3660.189023,-35.33142502,-23.68605995,-3660.127023,0.0004279263686,116,175,11,R134aDet,1
23.89611057,-35.33142502,-23.68605995,-3660.127023,-35.31247844,-23.67864534,-3660.101999,0.002740191104,116,175,11,R134aDet,1
23.89611057,-35.33142502,-23.68605995,-3660.127023,-35.32235916,-23.70453361,-3660.128351,0.002104204051,116,178,11,R134aDet,1
23.73539805,-35.00604087,-22.70193795,-3615.195787,-34.96997648,-22.72043878,-3615.198401,0.003136324816,116,174,11,R134aDet,1
23.56227224,-34.14908395,-22.06062873,-3563.305919,-33.93749016,-21.96898508,-3563.331491,0.008394288694,116,173,11,R134aDet,1
23.56064256,-34.1410196,-22.05459304,-3562.817465,-34.06589025,-21.95327133,-3562.829641,0.002628031457,116,172,11,R134aDet,1
23.56342511,-34.06589025,-21.95327133,-3562.829641,-34.06170937,-21.96130326,-3562.8435,0.001842255713,116,172,11,R134aDet,1
23.56342511,-34.06589025,-21.95327133,-3562.829641,-34.05721101,-21.95936162,-3562.823517,0.001529981794,116,179,11,R134aDet,1
23.43399118,-33.51457139,-21.58579802,-3524.857061,-33.50329517,-21.58748833,-3524.857658,0.001465308738,116,171,11,R134aDet,1
23.37089951,-33.20252622,-21.35233784,-3505.947,-34.0910697,-21.69817351,-3506.062792,0.006557535364,116,170,11,R134aDet,1
23.38254682,-34.0910697,-21.69817351,-3506.062792,-33.64841509,-21.86733161,-3506.01666,0.008510095688,116,170,11,R134aDet,1
23.38986679,-33.64841509,-21.86733161,-3506.01666,-33.6504397,-21.91230615,-3506.057429,0.00395880614,116,170,11,R134aDet,1
23.38254682,-34.0910697,-21.69817351,-3506.062792,-34.09144127,-21.70223143,-3506.073609,0.001476480445,116,180,11,R134aDet,1
23.12937005,-32.00796199,-20.45866523,-3433.554926,-31.89018474,-20.47972002,-3433.565647,0.005815844842,116,169,11,R134aDet,1
22.31370564,-27.9778608,-17.43040689,-3189.081123,-27.96444018,-17.44672173,-3189.082109,0.002136251056,116,167,11,R134aDet,0
22.1750166,-27.29283934,-16.91579399,-3147.512752,-27.29644603,-16.92824807,-3147.513049,0.00158534133,116,166,11,R134aDet,0
21.93261703,-26.09419369,-16.01590886,-3074.859915,-26.0970583,-16.00357046,-3074.860516,0.001563471236,116,165,11,R134aDet,0
21.86859319,-25.77760111,-15.77819014,-3055.67047,-25.77165666,-15.76950263,-3055.671065,0.001394917436,116,164,11,R134aDet,0
21.86681945,-25.76883074,-15.77160521,-3055.138838,-25.76727018,-15.76101621,-3055.139393,0.001409120426,116,163,11,R134aDet,0
21.43546011,-23.63783635,-14.17236713,-2925.85027,-23.62197405,-14.19991543,-2925.851831,0.002719008139,116,162,11,R134aDet,0
21.37899603,-23.35906943,-13.96299838,-2908.92665,-23.36846643,-13.96740355,-2908.926822,0.001381505133,116,161,11,R134aDet,0
21.15051432,-22.23066134,-13.1152718,-2840.445296,-22.21929047,-13.07857429,-2840.448036,0.003040447206,116,160,11,R134aDet,0
21.12495017,-22.10437435,-13.02042051,-2832.783118,-22.09749503,-13.03236516,-2832.783637,0.001646827194,116,159,11,R134aDet,0
21.05563365,-21.76187185,-12.7630799,-2812.007328,-21.75131915,-12.77261009,-2812.00796,0.00167897739,116,158,11,R134aDet,0
