# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
147 1.809819755 138 63

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.0150029,-0.4857038507,7.109692283,-2800,-0.7318772795,7.241064637,-2853.102892,0.02902910176,147,1,13,R134aDet,0
21.19214098,-0.7318772795,7.241064637,-2853.102892,-0.7695416839,7.26130815,-2861.275743,0.003795948037,147,1,13,R134aDet,0
21.21940358,-0.7695416839,7.26130815,-2861.275743,-1.123444141,7.451076812,-2937.963479,0.0470420732,147,1,13,R134aDet,0
21.47521482,-1.123444141,7.451076812,-2937.963479,-1.192328815,7.488261099,-2952.829575,0.01240134432,147,1,13,R134aDet,0
21.52480443,-1.192328815,7.488261099,-2952.829575,-1.249949962,7.519514884,-2965.289365,0.005707950339,147,1,13,R134aDet,0
21.56636721,-1.249949962,7.519514884,-2965.289365,-1.939552977,7.893231186,-3114.397657,0.08031071251,147,1,13,R134aDet,0
22.0637555,-1.939552977,7.893231186,-3114.397657,-2.313889244,8.099371003,-3195.343901,0.05567300074,147,1,13,R134aDet,0
22.33377213,-2.313889244,8.099371003,-3195.343901,-2.335391346,8.111210314,-3200,0.001401443399,147,1,13,R134aDet,0
22.68287894,-2.797196273,8.365137682,-3300,-3.496549709,8.749306844,-3451.652568,0.09810283832,147,1,13,R134aDet,1
23.18875431,-3.496549709,8.749306844,-3451.652568,-3.513572606,8.758688851,-3455.313593,0.002417152488,147,1,13,R134aDet,1
23.20096659,-3.513572606,8.758688851,-3455.313593,-3.60538884,8.809063537,-3475.130871,0.01241449915,147,1,13,R134aDet,1
23.26707212,-3.60538884,8.809063537,-3475.130871,-3.646089203,8.831353741,-3483.925596,0.003803183702,147,1,13,R134aDet,1
23.29640915,-3.646089203,8.831353741,-3483.925596,-3.657487218,8.837554654,-3486.38265,0.0008231009044,147,1,13,R134aDet,1
23.30460527,-3.657487218,8.837554654,-3486.38265,-3.667019914,8.842729154,-3488.436075,0.001235515956,147,1,13,R134aDet,1
23.31145499,-3.667019914,8.842729154,-3488.436075,-3.814226191,8.92270456,-3520.162272,0.02170712752,147,1,13,R134aDet,1
23.41728573,-3.814226191,8.92270456,-3520.162272,-4.365119726,9.225683398,-3638.912068,0.06368306037,147,1,13,R134aDet,1
23.81340568,-4.365119726,9.225683398,-3638.912068,-4.649539907,9.38239784,-3700,0.03836189727,147,1,13,R134aDet,1
23.81340568,-4.365119726,9.225683398,-3638.912068,-4.371112923,9.253180612,-3638.91337,0.002531350834,147,160,11,R134aDet,1
23.41728573,-3.814226191,8.92270456,-3520.162272,-4.391544238,8.853465616,-3520.25665,0.001488891202,147,159,11,R134aDet,1
23.42342103,-4.391544238,8.853465616,-3520.25665,-5.51747939,8.645673623,-3520.246733,0.005944008645,147,159,11,R134aDet,1
23.4361024,-5.51747939,8.645673623,-3520.246733,-5.636364415,8.541110093,-3520.598744,0.001969686799,147,159,11,R134aDet,1
23.44175748,-5.636364415,8.541110093,-3520.598744,-5.611014542,8.698381351,-3520.623111,0.006856097054,147,159,11,R134aDet,1
23.44175748,-5.636364415,8.541110093,-3520.598744,-5.669825413,8.534074338,-3520.682353,0.004955623493,147,165,11,R134aDet,1
23.4361024,-5.51747939,8.645673623,-3520.246733,-5.549240119,8.561051548,-3520.211739,0.005155662771,147,164,11,R134aDet,1
23.42342103,-4.391544238,8.853465616,-3520.25665,-4.388551847,8.836097359,-3520.265243,0.002041456801,147,163,11,R134aDet,1
23.31145499,-3.667019914,8.842729154,-3488.436075,-3.664716031,8.831569439,-3488.436546,0.001464270072,147,158,11,R134aDet,1
23.30460527,-3.657487218,8.837554654,-3486.38265,-3.509612822,8.901105375,-3486.396372,0.0068651619,147,157,11,R134aDet,1
23.29640915,-3.646089203,8.831353741,-3483.925596,-3.579775694,8.864779283,-3483.930717,0.00444385876,147,156,11,R134aDet,1
23.26707212,-3.60538884,8.809063537,-3475.130871,-3.625514477,8.855057174,-3475.13362,0.00355103233,147,155,11,R134aDet,1
23.20096659,-3.513572606,8.758688851,-3455.313593,-3.487960791,8.783284866,-3455.315541,0.002901724621,147,154,11,R134aDet,1
23.18875431,-3.496549709,8.749306844,-3451.652568,-3.443855463,7.912260731,-3451.815318,0.002914532129,147,153,11,R134aDet,1
23.19687833,-3.450647974,7.89340895,-3451.833304,-3.740540366,7.329074726,-3452.155027,0.002573298978,147,153,11,R134aDet,1
23.20404379,-3.740540366,7.329074726,-3452.155027,-4.775991342,6.164442736,-3452.186572,0.01128399845,147,153,11,R134aDet,1
23.22078605,-4.775991342,6.164442736,-3452.186572,-4.37984539,5.61471715,-3452.080816,0.009066849277,147,153,11,R134aDet,1
23.23034436,-4.37984539,5.61471715,-3452.080816,-4.337707251,5.65144832,-3452.204485,0.006227804872,147,153,11,R134aDet,1
23.20404379,-3.740540366,7.329074726,-3452.155027,-3.733513874,7.322616529,-3452.150331,0.001402491154,147,168,11,R134aDet,1
23.19687833,-3.450647974,7.89340895,-3451.833304,-3.445247491,7.8966457,-3451.84403,0.001544841569,147,167,11,R134aDet,1
23.19661315,-3.443855463,7.912260731,-3451.815318,-3.451096377,7.929280371,-3451.830721,0.002307140439,147,166,11,R134aDet,1
22.33377213,-2.313889244,8.099371003,-3195.343901,-2.527800027,8.524583123,-3195.39446,0.01250556349,147,152,11,R134aDet,0
22.0637555,-1.939552977,7.893231186,-3114.397657,-2.474416212,7.833669785,-3114.458654,0.003758301435,147,151,11,R134aDet,0
22.07158791,-2.474416212,7.833669785,-3114.458654,-2.478828963,7.932959725,-3114.56558,0.006487426149,147,151,11,R134aDet,0
22.07158791,-2.474416212,7.833669785,-3114.458654,-2.532526822,7.842263316,-3114.448675,0.003915691254,147,169,11,R134aDet,0
21.56636721,-1.249949962,7.519514884,-2965.289365,-1.275098757,7.251624307,-2965.315362,0.009133192145,147,150,11,R134aDet,0
21.52480443,-1.192328815,7.488261099,-2952.829575,-1.205292453,7.484354969,-2952.830065,0.001628674809,147,149,11,R134aDet,0
21.47521482,-1.123444141,7.451076812,-2937.963479,-2.603615056,8.606644712,-2938.280977,0.008621765235,147,148,11,R134aDet,0
21.49424602,-2.603615056,8.606644712,-2938.280977,-2.444851773,9.159782561,-2937.830757,0.003123118776,147,148,11,R134aDet,0
21.50273286,-2.444851773,9.159782561,-2937.830757,-2.439872601,9.336781628,-2937.503845,0.001696216104,147,148,11,R134aDet,0
21.50763559,-2.439872601,9.336781628,-2937.503845,-2.80166565,8.997322764,-2937.587896,0.01017389184,147,148,11,R134aDet,0
21.51525517,-2.80166565,8.997322764,-2937.587896,-2.796579013,9.004847918,-2937.617877,0.002693863032,147,148,11,R134aDet,0
21.50763559,-2.439872601,9.336781628,-2937.503845,-2.460149933,9.358483016,-2937.505211,0.002612615775,147,171,11,R134aDet,0
21.50273286,-2.444851773,9.159782561,-2937.830757,-2.454046649,9.17721754,-2937.83991,0.002171298205,147,170,11,R134aDet,0
21.21940358,-0.7695416839,7.26130815,-2861.275743,-0.6466281314,7.248885386,-2861.285746,0.005918907714,147,147,11,R134aDet,0
21.19214098,-0.7318772795,7.241064637,-2853.102892,-0.7344383242,7.165424201,-2853.108086,0.004491691402,147,146,11,R134aDet,0
21.29402208,215.3127575,313.4174413,-2800,220.989748,320.8817069,-2819.299093,0.01010429673,147,195,-11,R134aDet,0
21.36563525,220.989748,320.8817069,-2819.299093,230.0985655,331.5713033,-2848.315874,0.01510085277,147,195,-11,R134aDet,0
21.47322392,230.0985655,331.5713033,-2848.315874,264.4181566,365.7990464,-2952.672446,0.0696816717,147,195,-11,R134aDet,0
21.85716317,264.4181566,365.7990464,-2952.672446,267.7247901,368.6643642,-2962.326849,0.005188871177,147,195,-11,R134aDet,0
21.892541,267.7247901,368.6643642,-2962.326849,278.3638134,377.3768398,-2993.569769,0.01860176001,147,195,-11,R134aDet,0
22.0064661,278.3638134,377.3768398,-2993.569769,297.9659193,394.5181343,-3058.59051,0.03778919804,147,195,-11,R134aDet,0
22.24020485,297.9659193,394.5181343,-3058.59051,302.829368,398.9918675,-3074.825467,0.005885377097,147,195,-11,R134aDet,0
22.29870787,302.829368,398.9918675,-3074.825467,326.5558248,422.2159175,-3151.164094,0.04097010846,147,195,-11,R134aDet,0
22.57650505,326.5558248,422.2159175,-3151.164094,342.5173116,437.6591641,-3200,0.02802093231,147,195,-11,R134aDet,0
23.12241149,373.7545218,470.8711252,-3300,411.3916285,503.1978081,-3408.173526,0.0638529023,147,195,-11,R134aDet,1
