# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
79 1.461303824 135 60

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.0152111,-15.48365287,-8.304382234,-2800,-15.9393967,-8.346975166,-2838.685242,0.02544449363,79,1,13,R134aDet,0
21.14426254,-15.9393967,-8.346975166,-2838.685242,-16.24941521,-8.376558608,-2864.982989,0.01493473664,79,1,13,R134aDet,0
21.23199011,-16.24941521,-8.376558608,-2864.982989,-16.31658707,-8.382909985,-2870.684618,0.003705224707,79,1,13,R134aDet,0
21.25101038,-16.31658707,-8.382909985,-2870.684618,-16.51779816,-8.402104305,-2887.76698,0.007233335859,79,1,13,R134aDet,0
21.30799602,-16.51779816,-8.402104305,-2887.76698,-18.26228998,-8.569129649,-3035.998386,0.1021950766,79,1,13,R134aDet,0
21.80248624,-18.26228998,-8.569129649,-3035.998386,-18.32512748,-8.574999419,-3041.304422,0.00181872953,79,1,13,R134aDet,0
21.82018684,-18.32512748,-8.574999419,-3041.304422,-19.01501204,-8.639476545,-3099.564534,0.03590504644,79,1,13,R134aDet,0
22.01453891,-19.01501204,-8.639476545,-3099.564534,-19.27380227,-8.663750905,-3121.478343,0.01198745543,79,1,13,R134aDet,0
22.08764197,-19.27380227,-8.663750905,-3121.478343,-19.77274742,-8.710843031,-3163.762753,0.02274010321,79,1,13,R134aDet,0
22.22870003,-19.77274742,-8.710843031,-3163.762753,-19.91082897,-8.724017875,-3175.464005,0.007396408132,79,1,13,R134aDet,0
22.26773465,-19.91082897,-8.724017875,-3175.464005,-19.96407056,-8.729066072,-3179.971836,0.002967536197,79,1,13,R134aDet,0
22.28277249,-19.96407056,-8.729066072,-3179.971836,-20.20061216,-8.751457505,-3200,0.0122288947,79,1,13,R134aDet,0
22.68317872,-21.38111647,-8.862436631,-3300,-21.805544,-8.902492933,-3335.912018,0.02396970601,79,1,13,R134aDet,1
22.80297892,-21.805544,-8.902492933,-3335.912018,-23.24247253,-9.039170287,-3457.536363,0.06784908231,79,1,13,R134aDet,1
23.20870995,-23.24247253,-9.039170287,-3457.536363,-23.37253361,-9.051657809,-3468.520883,0.006477950766,79,1,13,R134aDet,1
23.24535362,-23.37253361,-9.051657809,-3468.520883,-23.52523488,-9.066229026,-3481.412923,0.008515041727,79,1,13,R134aDet,1
23.28836066,-23.52523488,-9.066229026,-3481.412923,-24.03468083,-9.114847405,-3524.40427,0.03122709087,79,1,13,R134aDet,1
